2020-06-19 15:31:13,810 - TestValue - INFO - {'Test_ID': 274, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:12', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111508.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.399, 'top1': 3, 'top2': 5, 'top3': 97, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111508.jpg'}
2020-06-19 15:31:19,061 - TestValue - INFO - {'Test_ID': 283, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:17', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111513_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.31, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111513_1.jpg'}
2020-06-19 15:31:19,978 - TestValue - INFO - {'Test_ID': 284, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:18', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111514.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.309, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111514.jpg'}
2020-06-19 15:31:20,156 - TestValue - INFO - {'Test_ID': 285, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:18', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111514_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.305, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111514_1.jpg'}
2020-06-19 15:31:21,032 - TestValue - INFO - {'Test_ID': 286, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:19', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111515.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.312, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111515.jpg'}
2020-06-19 15:31:21,747 - TestValue - INFO - {'Test_ID': 287, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:19', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111515_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.296, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111515_1.jpg'}
2020-06-19 15:31:21,920 - TestValue - INFO - {'Test_ID': 288, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:20', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111518.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.286, 'top1': 5, 'top2': 3, 'top3': 97, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111518.jpg'}
2020-06-19 15:31:22,549 - TestValue - INFO - {'Test_ID': 289, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:21', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111519.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.304, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111519.jpg'}
2020-06-19 15:31:23,783 - TestValue - INFO - {'Test_ID': 290, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:21', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111520.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.31, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111520.jpg'}
2020-06-19 15:31:24,455 - TestValue - INFO - {'Test_ID': 291, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:21', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111520_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.303, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111520_1.jpg'}
2020-06-19 15:31:25,037 - TestValue - INFO - {'Test_ID': 292, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:22', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111525.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.38, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111525.jpg'}
2020-06-19 15:31:25,767 - TestValue - INFO - {'Test_ID': 293, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:23', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111525_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.426, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111525_1.jpg'}
2020-06-19 15:31:25,971 - TestValue - INFO - {'Test_ID': 294, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:24', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111526.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.284, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111526.jpg'}
2020-06-19 15:31:26,725 - TestValue - INFO - {'Test_ID': 295, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:25', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111541.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.438, 'top1': 5, 'top2': 8, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111541.jpg'}
2020-06-19 15:31:27,536 - TestValue - INFO - {'Test_ID': 296, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:25', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111542.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.317, 'top1': 5, 'top2': 8, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111542.jpg'}
2020-06-19 15:31:27,982 - TestValue - INFO - {'Test_ID': 297, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:25', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111543.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.298, 'top1': 5, 'top2': 4, 'top3': 8, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111543.jpg'}
2020-06-19 15:31:28,695 - TestValue - INFO - {'Test_ID': 298, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:26', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111543_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.448, 'top1': 5, 'top2': 4, 'top3': 8, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111543_1.jpg'}
2020-06-19 15:31:29,081 - TestValue - INFO - {'Test_ID': 299, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:27', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111544.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.435, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111544.jpg'}
2020-06-19 15:31:29,810 - TestValue - INFO - {'Test_ID': 300, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:27', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111545.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.457, 'top1': 5, 'top2': 4, 'top3': 8, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111545.jpg'}
2020-06-19 15:31:30,139 - TestValue - INFO - {'Test_ID': 301, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:28', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111545_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.362, 'top1': 4, 'top2': 5, 'top3': 3, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111545_1.jpg'}
2020-06-19 15:31:30,481 - TestValue - INFO - {'Test_ID': 302, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:29', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111546.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.31, 'top1': 4, 'top2': 3, 'top3': 5, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111546.jpg'}
2020-06-19 15:31:31,331 - TestValue - INFO - {'Test_ID': 303, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:29', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111546_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.337, 'top1': 4, 'top2': 5, 'top3': 3, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111546_1.jpg'}
2020-06-19 15:31:31,669 - TestValue - INFO - {'Test_ID': 304, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:30', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111547.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.299, 'top1': 4, 'top2': 3, 'top3': 5, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111547.jpg'}
2020-06-19 15:31:31,898 - TestValue - INFO - {'Test_ID': 305, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:30', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111548.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.316, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111548.jpg'}
2020-06-19 15:31:32,757 - TestValue - INFO - {'Test_ID': 306, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:31', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111548_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.318, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111548_1.jpg'}
2020-06-19 15:31:33,115 - TestValue - INFO - {'Test_ID': 307, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:31', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111549.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.343, 'top1': 4, 'top2': 5, 'top3': 3, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111549.jpg'}
2020-06-19 15:31:33,507 - TestValue - INFO - {'Test_ID': 308, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:31', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111550.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.329, 'top1': 5, 'top2': 4, 'top3': 9, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111550.jpg'}
2020-06-19 15:31:34,282 - TestValue - INFO - {'Test_ID': 309, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:32', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111551.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.359, 'top1': 4, 'top2': 5, 'top3': 3, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111551.jpg'}
2020-06-19 15:31:34,628 - TestValue - INFO - {'Test_ID': 310, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:33', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111551_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.341, 'top1': 4, 'top2': 3, 'top3': 5, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111551_1.jpg'}
2020-06-19 15:31:34,941 - TestValue - INFO - {'Test_ID': 311, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:33', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111555.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.303, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111555.jpg'}
2020-06-19 15:31:35,808 - TestValue - INFO - {'Test_ID': 312, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:34', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111555_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.405, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111555_1.jpg'}
2020-06-19 15:31:36,482 - TestValue - INFO - {'Test_ID': 313, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:34', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111556.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.332, 'top1': 5, 'top2': 4, 'top3': 3, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111556.jpg'}
2020-06-19 15:31:36,728 - TestValue - INFO - {'Test_ID': 314, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:34', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111557.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.341, 'top1': 5, 'top2': 8, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111557.jpg'}
2020-06-19 15:31:37,504 - TestValue - INFO - {'Test_ID': 315, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:35', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111557_1.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.389, 'top1': 5, 'top2': 4, 'top3': 93, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111557_1.jpg'}
2020-06-19 15:31:38,149 - TestValue - INFO - {'Test_ID': 316, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:36', 'Cultural_Name': '忆年无疆瓦当', 'Test_Chart': 'IMG_20190807_111558.jpg', 'Code': 4, 'Expected_Value': 4, 'TimeConsuming': 1.448, 'top1': 5, 'top2': 4, 'top3': 8, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/4/IMG_20190807_111558.jpg'}
