2020-06-19 16:19:18,563 - Statistics - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '人物车马俑', 'CulturalCode': 0, 'Numbertest': 52, 'PASS': 39, 'FAIL': 13, 'ERROR': 0, 'Accuracy': 0.75, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,566 - Statistics - INFO - {'Test_ID': 12, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '长乐未央千秋万世昌瓦当', 'CulturalCode': 11, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,566 - Statistics - INFO - {'Test_ID': 13, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '几何纹砖', 'CulturalCode': 12, 'Numbertest': 40, 'PASS': 40, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,566 - Statistics - INFO - {'Test_ID': 14, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '上林瓦当', 'CulturalCode': 13, 'Numbertest': 40, 'PASS': 17, 'FAIL': 23, 'ERROR': 0, 'Accuracy': 0.425, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,569 - Statistics - INFO - {'Test_ID': 15, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '与天毋及瓦当', 'CulturalCode': 14, 'Numbertest': 42, 'PASS': 42, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,569 - Statistics - INFO - {'Test_ID': 16, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '板瓦', 'CulturalCode': 15, 'Numbertest': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,569 - Statistics - INFO - {'Test_ID': 17, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '与天无极瓦当', 'CulturalCode': 16, 'Numbertest': 46, 'PASS': 41, 'FAIL': 5, 'ERROR': 0, 'Accuracy': 0.891, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,570 - Statistics - INFO - {'Test_ID': 18, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '延年瓦当', 'CulturalCode': 17, 'Numbertest': 44, 'PASS': 36, 'FAIL': 8, 'ERROR': 0, 'Accuracy': 0.818, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,570 - Statistics - INFO - {'Test_ID': 19, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '冢上西当瓦当', 'CulturalCode': 18, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,570 - Statistics - INFO - {'Test_ID': 20, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '延年益寿瓦当', 'CulturalCode': 19, 'Numbertest': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,570 - Statistics - INFO - {'Test_ID': 21, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '李字瓦当', 'CulturalCode': 20, 'Numbertest': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,570 - Statistics - INFO - {'Test_ID': 22, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '宗正官当瓦当', 'CulturalCode': 21, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,571 - Statistics - INFO - {'Test_ID': 23, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '长生未央瓦当', 'CulturalCode': 22, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,571 - Statistics - INFO - {'Test_ID': 24, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '与华相宜瓦当', 'CulturalCode': 23, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,571 - Statistics - INFO - {'Test_ID': 25, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '八风寿存瓦当', 'CulturalCode': 24, 'Numbertest': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,571 - Statistics - INFO - {'Test_ID': 26, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '佐戈瓦当', 'CulturalCode': 25, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,571 - Statistics - INFO - {'Test_ID': 27, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '玄武瓦当', 'CulturalCode': 26, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 28, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '朱雀纹瓦当', 'CulturalCode': 27, 'Numbertest': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 29, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '虎纹瓦当', 'CulturalCode': 28, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 30, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '龙纹瓦当', 'CulturalCode': 29, 'Numbertest': 60, 'PASS': 49, 'FAIL': 11, 'ERROR': 0, 'Accuracy': 0.817, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 31, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '鼎胡（湖）延寿宫瓦当', 'CulturalCode': 30, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 32, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '延寿长相思瓦当', 'CulturalCode': 31, 'Numbertest': 46, 'PASS': 45, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 33, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '千秋万岁瓦当', 'CulturalCode': 32, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 34, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '无极瓦当', 'CulturalCode': 33, 'Numbertest': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 35, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '长乐未央瓦当', 'CulturalCode': 34, 'Numbertest': 60, 'PASS': 60, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 36, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '羽阳千岁瓦当', 'CulturalCode': 35, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,572 - Statistics - INFO - {'Test_ID': 37, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '板瓦', 'CulturalCode': 36, 'Numbertest': 40, 'PASS': 39, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.975, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,573 - Statistics - INFO - {'Test_ID': 38, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '北司戳印板瓦', 'CulturalCode': 37, 'Numbertest': 49, 'PASS': 49, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,573 - Statistics - INFO - {'Test_ID': 39, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '砖', 'CulturalCode': 38, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,573 - Statistics - INFO - {'Test_ID': 40, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '石夯头', 'CulturalCode': 39, 'Numbertest': 73, 'PASS': 73, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,573 - Statistics - INFO - {'Totaltype': '文物识别测试件数：40', 'SumNumbers': '识别总数(次数、图片总数)：2148', 'SumPass': '识别准确数：1882', 'SumFail': '识别不准确数：266', 'Standard': '识别准确率达标数：29', 'UnStandard': '识别准确率未达标数：11', 'threshold': '准确率标准为不低于95.00%', 'StandardRate': '文物识别准确率满足标准的达标率：72.50%', 'summary': '本次文物识别共计测试40件，准确率达标29件，剩余11件未达标，达标率为：72.50%'}
