2020-06-19 16:46:10,466 - Statistics - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '人物车马俑', 'Code': 0, 'Test_Number': 52, 'PASS': 39, 'FAIL': 13, 'ERROR': 0, 'Accuracy': 0.75, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,471 - Statistics - INFO - {'Test_ID': 16, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '板瓦', 'Code': 15, 'Test_Number': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,471 - Statistics - INFO - {'Test_ID': 17, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '与天无极瓦当', 'Code': 16, 'Test_Number': 46, 'PASS': 41, 'FAIL': 5, 'ERROR': 0, 'Accuracy': 0.891, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,471 - Statistics - INFO - {'Test_ID': 18, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '延年瓦当', 'Code': 17, 'Test_Number': 44, 'PASS': 36, 'FAIL': 8, 'ERROR': 0, 'Accuracy': 0.818, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,471 - Statistics - INFO - {'Test_ID': 19, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '冢上西当瓦当', 'Code': 18, 'Test_Number': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,472 - Statistics - INFO - {'Test_ID': 20, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '延年益寿瓦当', 'Code': 19, 'Test_Number': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,472 - Statistics - INFO - {'Test_ID': 21, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '李字瓦当', 'Code': 20, 'Test_Number': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,472 - Statistics - INFO - {'Test_ID': 22, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '宗正官当瓦当', 'Code': 21, 'Test_Number': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,472 - Statistics - INFO - {'Test_ID': 23, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '长生未央瓦当', 'Code': 22, 'Test_Number': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,472 - Statistics - INFO - {'Test_ID': 24, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '与华相宜瓦当', 'Code': 23, 'Test_Number': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,473 - Statistics - INFO - {'Test_ID': 25, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '八风寿存瓦当', 'Code': 24, 'Test_Number': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,473 - Statistics - INFO - {'Test_ID': 26, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '佐戈瓦当', 'Code': 25, 'Test_Number': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,473 - Statistics - INFO - {'Test_ID': 27, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '玄武瓦当', 'Code': 26, 'Test_Number': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,473 - Statistics - INFO - {'Test_ID': 28, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '朱雀纹瓦当', 'Code': 27, 'Test_Number': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,473 - Statistics - INFO - {'Test_ID': 29, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '虎纹瓦当', 'Code': 28, 'Test_Number': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 30, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '龙纹瓦当', 'Code': 29, 'Test_Number': 60, 'PASS': 49, 'FAIL': 11, 'ERROR': 0, 'Accuracy': 0.817, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 31, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '鼎胡（湖）延寿宫瓦当', 'Code': 30, 'Test_Number': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 32, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '延寿长相思瓦当', 'Code': 31, 'Test_Number': 46, 'PASS': 45, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 33, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '千秋万岁瓦当', 'Code': 32, 'Test_Number': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 34, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '无极瓦当', 'Code': 33, 'Test_Number': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,474 - Statistics - INFO - {'Test_ID': 35, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '长乐未央瓦当', 'Code': 34, 'Test_Number': 60, 'PASS': 60, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,475 - Statistics - INFO - {'Test_ID': 36, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '羽阳千岁瓦当', 'Code': 35, 'Test_Number': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,475 - Statistics - INFO - {'Test_ID': 37, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '板瓦', 'Code': 36, 'Test_Number': 40, 'PASS': 39, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.975, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,475 - Statistics - INFO - {'Test_ID': 38, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '北司戳印板瓦', 'Code': 37, 'Test_Number': 49, 'PASS': 49, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,475 - Statistics - INFO - {'Test_ID': 39, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '砖', 'Code': 38, 'Test_Number': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,475 - Statistics - INFO - {'Test_ID': 40, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '石夯头', 'Code': 39, 'Test_Number': 73, 'PASS': 73, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,487 - Statistics - INFO - {'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Total_Type': '文物识别测试件数：40', 'Sum_Numbers': '识别总数(次数、图片总数)：2148', 'Sum_Pass': '识别准确数：1882', 'Sum_Fail': '识别不准确数：266', 'Standard': '识别准确率达标数：29', 'UnStandard': '识别准确率未达标数：11', 'threshold': '准确率标准为不低于95.00%', 'StandardRate': '文物识别准确率满足标准的达标率：72.50%', 'Summary': '本次文物识别共计测试40件，准确率达标29件，剩余11件未达标，达标率为：72.50%'}
